SN,,News Channel,Time,News Title,inappropriate content,sexual abuse,Dark pattern,gaming addition,Abusive Speech ,Some Importnat points,HIghlighted Cases,Link,About the parental control ,abused child 
33,1,justice,"Wednesday, August 30, 2023",New Jersey Man Sentenced to 15 Years in Federal Prison After Grooming Minor Online and Transporting Her Across State Lines via Uber for Sex,,1,,,,"communicate with and groom a 15-year-old girl via social media and gaming applications such as Instagram, Roblox, and Discord.",,https://www.justice.gov/usao-sdin/pr/new-jersey-man-sentenced-15-years-federal-prison-after-grooming-minor-online-and,,
34,1,walesonline,"19:55, 10 May 2019
Updated 10:09, 11 May 2019",Paedophile groomed 150 children to engage in sexual activity using online game Roblox,,1,,,,,,https://www.walesonline.co.uk/news/wales-news/paedophile-groomed-150-children-engage-16258877,,
35,1,hindenburgresearch,"Published on October 8, 2024",Roblox: Inflated Key Metrics For Wall Street And A Pedophile Hellscape For Kids,1,,,,,"Posing as a child in Roblox’s “therapy” experience, our therapist introduced himself as a “rapper with only one p”. We were advised to run away from home and that he would come pick us up so we could move into his basement in exchange for paying rent with our body


Some games seem to encourage illicit interactions, like “Public Bathroom Simulator Vibe” and “XYZ Club Vibe” with 31 million collective visits. Both are available to users who self-identify as 9+ years old, who can simulate sex in bathrooms wearing skimpy outfits


Despite Roblox’s claims of “best in the world” content moderation, our interviews with moderators show safety was largely outsourced to Asian call centers. Moderators described being paid $12 a day to review countless instances of child grooming and bullying with a limited ability to keep perpetrators off the platform permanently",,https://hindenburgresearch.com/roblox/,,
36,1,5rightsfoundation," 17th October, 2024",Gaming platform Roblox unsafe for children,1,,,,,"We found Roblox to be an X-rated pedophile hellscape, replete with users attempting to groom our avatars, groups openly trading child pornography, widely accessible sex games, violent content and extremely abusive speech – all of which is open to young children,” said the Hindenburg report.",,https://5rightsfoundation.com/gaming-platform-roblox-unsafe-for-children/,,
37,1,bloomberg,,,1,1,,,,,,https://www.bloomberg.com/features/2024-roblox-pedophile-problem/,,
38,2,bnnbloomberg,"July 22, 2024 at 8:35PM EDT","The Gaming Platform With a Predator Problem
",1,1,,,,,"And what a lot of his followers found appealing about Doc, Olivia says, was his “dark and edgy” humor. But also, that he’d pay them — in Robux.


These gamers go after Doctor Rofatnik, and what they they do is they post screenshots of a conversation he had with a young, 12-year-old girl, who worked for him, where he talked about kidnapping her, raping her He had very inappropriate, hyper-sexualized conversations with her, and all of those screenshots were uploaded into a document they dropped on Twitter.


But eventually, the mother of that 12-year-old girl saw those messages, and she contacted Roblox herself.

Roblox did receive a number of complaints from users about the Doctor Rofatnik account.


 In May of 2022, a 15-year-old girl goes missing. Her mom comes home, and sees that all of her electronics have gone from her bedroom. Her favorite blanket’s gone. Some of her clothing is gone. Her chargers are gone.


Again, that’s according to the detective’s account of her conversation with the victim’s family. The police got ahold of the girl’s private communications on social media, and they found she and a man had exchanged hundreds of sexualized messages.


Arnold Castillo, or “Doctor Rofatnik,” had groomed the girl in the virtual world of Roblox, and then abused her in the real world.



Police across the US have arrested at least two dozen people since 2018,  who have abducted or abused victims they met on Roblox. 


In 2022, Roblox reported nearly 3,000 incidents of child exploitation to the National Center for Missing and Exploited Children. In 2023, it flagged more than 13,000.

",https://www.bnnbloomberg.ca/business/company-news/2024/07/23/the-gaming-platform-with-a-predator-problem/,,
39,1,stern,"October 10, 2024","A New Report Alleges that Roblox Remains an “X-Rated Pedophile Hellscape,” And What This Says About the Need for Regulation",1,1,,,,,,https://bhr.stern.nyu.edu/quick-take/a-new-report-alleges-that-roblox-remains-an-x-rated-pedophile-hellscape-and-what-this-says-about-the-need-for-regulation/,,
40,1,thebearcave,"Edwin Dorsey
Aug 17, 202","Even More Problems at Roblox (RBLX)
",1,1,,,,"“The subject got on there, praising these little kids, because they think they’re playing on there with other kids. And they’re not. They’re playing with people who are preying on kids. We’re extremely lucky we found this young girl and she’s alive.”

",,https://thebearcave.substack.com/p/even-more-problems-at-roblox-rblx,,
41,2,thebearcave,"Feb 04, 2022",Problems at Roblox (RBLX),1,,,,,"In August 2021, 61-year-old John Mathew Piecuch was indicted after posing as a 13-year-old boy on Roblox. He “contacted a 12-year-old girl and requested sexually explicit photos of her and her 5-year-old sibling.” Following the arrest, the Carroll County Sherriff’s Office put out an alert to warn parents that Roblox “is widely used by elementary-aged children.”",,https://thebearcave.substack.com/p/problems-at-roblox-rblx,,
42,1,theverge,"Oct 5, 2024, 12:45 AM GMT+9",Financial newsletter accuses Roblox of enabling child abuse,1,1,,,,"The Bear Cave’s report lists 16 instances since 2020 in which adults were arrested or indicted for sexually exploiting children they met on Roblox, one of which involved a man who “groomed 150 children to engage in sexual activity” on the platform.",,https://www.theverge.com/2024/10/4/24262033/roblox-the-bear-cave-child-abuse,,
43,1,dailymail,14 March 2025,Parents warned over 'toxic' Roblox dress-up game played by millions of kids as fuming mothers and fathers say children exposed to 'sexually explicit' content and 'cyberbullying' is encouraged,1,,,,,"It is alleged that some players are dressing as stereotypes mocking race, culture, religion and sexuality. ",,https://www.dailymail.co.uk/news/article-14494609/Parents-Roblox-dress-impress-children-exposed-cyberbullying.html,,
44,2,dailymail,10 January 2025,"Paedophile, 36, groomed 13-year-old British girl on children's gaming site Roblox then flew to UK to have sex with her",1,,,,,,,https://www.dailymail.co.uk/news/article-14270113/Paedophile-groomed-British-girl-Roblox-sex.html,,
45,3,dailymail,20 August 2020,"Roblox computer game is under fire for secret 'red light district' where young kids are exposed to digital sex parties, racial slurs, and players solicit nudes and link to graphic images",1,1,,,,,,https://www.dailymail.co.uk/news/article-8647243/Roblox-computer-game-fire-dark-kids-exposed-digital-sex-parties.html,,
46,4,dailymail,27 February 2025,"Roblox paedophile groomed boy 13, on gaming platform offering him a $10 gift card for explicit shower pic, a $25 voucher to see his naked buttocks and a $100 one for sex",1,1,,,,,,https://www.dailymail.co.uk/news/article-14432999/Roblox-paedophile-groomed-boy-13-gaming-platform-offering-10-gift-card-explici,,
47,5,dailymail,17 January 2025,Roblox predator who raped 10-year-old girl is locked up: Paedophile who 'targeted child he met on gaming platform' is jailed for six years,1,1,,,,,,https://www.dailymail.co.uk/news/article-14278563/Roblox-predator-raped-10-year-old-girl.html,,
48,6,dailymail,22 April 2021,"Roblox computer game is forced to implement ratings system after children under 13 are exposed to simulated sex, racial slurs and graphic images",1,1,,,,,,https://www.dailymail.co.uk/news/article-9491675/Roblox-forced-implement-ratings-children-13-exposed-simulated-sex.html,,
49,1,cbsnews,"August 19, 2020","Kids exposed to simulated sex and graphic images in ""dark side"" of popular computer game Roblo",1,1,,,,"Lemus-Olson goes by ""Dazzely"" on Roblox. In his YouTube channel videos, he looks at ""condo games"" or ""condo videos,"" which he called the ""bad side"" of the platform. He claims many of these videos had been removed from YouTube, with copyright infringement listed as the reason.",,https://www.cbsnews.com/news/roblox-condo-games-kids-exposed-pornographic-scenes-sex-acts/,,
50,2,cbsnews,"Apr 19, 2025","Roblox creators respond after California man kidnaps girl he met in game
",1,1,,,,,,https://www.cbsnews.com/losangeles/video/roblox-creators-respond-after-california-man-kidnaps-girl-he-met-in-game/,,
51,1,fastcompany,08-19-2020,"Sex, lies, and video games: Inside Roblox’s war on porn",1,1,,,,,the side has many video as a proof,https://www.fastcompany.com/90539906/sex-lies-and-video-games-inside-roblox-war-on-porn,,
52,1,thesun,Apr 7 2025,"
Roblox sicko said he'd strip my daughter & tape her to bed' ...
",1,1,,,,,,https://www.thesun.co.uk/news/34321327/roblox-paedo-child-predators-gaming/,,
53,2,thesun,4 Jul 2018,Mum shares outrage after seeing seven-year-old daughter’s character ‘gang raped’ in online Roblox game,1,1,,,,,,https://www.thesun.co.uk/tech/6692872/roblox-avatar-gang-raped-video-game/,,
54,1,abc,Tue 2 Dec,"Roblox is played by 90 million users daily but in the dark corners of chat rooms, danger lurks for young players",1,1,,,,"A British mother told 7.30 her nine-year-old daughter was targeted by a predator on Roblox in September. For legal reasons, we cannot reveal the mother or daughter's identity.",,https://www.abc.net.au/news/2024-12-02/roblox-9-year-old-child-targeted-by-sexual-predator/104659312,,
55,1,globalnews,"July 6, 2018",Mom horrified to see her 7-year-old’s Roblox character ‘gang-raped’ in popular online game,1,1,,,,,,https://globalnews.ca/news/4316449/roblox-gang-rape-7-year-old-girl/,,
56,1,fox32chicago,"July 6, 2018 6:22 PM",Mom warns of popular 'Roblox' video game after 7-year-old's avatar 'violently gang raped,1,1,,,,,,https://www.fox32chicago.com/news/mom-warns-of-popular-roblox-video-game-after-7-year-olds-avatar-violently-gang-raped,,
57,1,kron4,"Feb 21, 2025 / ","Roblox is ‘hunting ground for child sex predators,’ new lawsuit claims",1,1,,,,,,https://www.kron4.com/news/bay-area/roblox-is-hunting-ground-for-child-sex-predators-new-lawsuit-claims/,,
58,1,today,"July 5, 2018,",Mom horrified when 7-year-old daughter's avatar was sexually assaulted in Roblox,1,1,,,,,,https://www.today.com/parents/7-year-old-girl-s-avatar-assaulted-while-playing-roblox-t132531,,
59,1,yahoo,"Fri, April 18, 2025 at 10:14 AM GMT+9","10-year-old girl kidnapped by man she met on Roblox, police say",1,1,,,,,,https://www.yahoo.com/news/10-old-girl-kidnapped-man-095726841.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAGtQLPXBGl4c6oa_ZMAbXBcXvK4vM1onaYrp-oFg_DMySFEMeLRv4WwlhuAC9TbP3LK9r2HryVw1VpAG7jTZ9_bLGNOzxCwwAUz5oso0k3uNePS7ZSYCVieUWif7qZ-xyAFuz3wrBP29AN0NuddSQ-iizN0bTFQT7Shs49ECsIG4,,
60,1,fox35orlando,"April 30, 2025","Ocala teen arrested, used Roblox to communicate with and sexually exploit children",1,1,,,,,,https://www.fox35orlando.com/news/ocala-teen-arrested-used-roblox-communicate-sexually-exploit-children,,
61,1,miamiherald,"October 25, 2024 4:40 PM","10-year-old tries to kill infant at mom’s urging through online game, Florida cops say

",,,,,,,,https://www.miamiherald.com/news/state/florida/article294306784.html,,
62,1,upnorthlive, January 30th 2025 at 7:05 AM,New York school security guard charged with exploiting Petoskey girl met on Roblox,1,1,,,,,,https://upnorthlive.com/news/local/new-york-school-security-guard-charged-with-exploiting-petoskey-girl-met-on-roblox-ryan-dookhan-emmet-county-nude-photo-photographs,,
63,2,upnorthlive,February 1st 2025 at 12:21 PM,Police warn parents to monitor online gaming after 11-year-old Petoskey girl was targeted,1,1,,,,,,https://upnorthlive.com/news/local/police-warn-parents-to-monitor-online-gaming-after-11-year-old-petoskey-girl-is-targeted#,,
64,1,kidspot,"April 28, 2022",My 11-year-old was scammed and trolled on Roblox and they refused to help,1,1,,,,,,https://www.kidspot.com.au/parenting/primary-school/my-11yearold-was-scammed-and-trolled-on-roblox-and-they-refused-to-help/news-story/d2453f22213225579bf48851623c2e5d,,
65,2,kidspot,"May 31, 2019 - 6:55AM",Mum found explicit photos her son sent to paedophile while playing Roblox,1,1,,,,,,https://www.kidspot.com.au/news/mum-found-explicit-photos-her-son-sent-to-paedophile-while-playing-roblox/news-story/d3be5a97e0dff776f02339e3ed81c742,,
66,3,kidspot,"June 3, 2018",Mum horrified after six-year-old stumbles onto explicit Roblox 'sex room',1,1,,,,,,https://www.kidspot.com.au/parenting/mum-horrified-after-sixyearold-stumbles-onto-explicit-roblox-sex-room/news-story/74f9543444462d24706a639dd8336834,,
67,4,kidspot,"May 7, 2021 - 8:25AM",Why this mum banned her kids from playing Fashion Famous on Roblox,1,1,,,,,,https://www.kidspot.com.au/parenting/high-school/why-this-mum-banned-her-kids-from-playing-fashion-famous-on-roblox/news-story/034e007e35989ad99ed565d5f9826674,,
68,1,devonlive,"Updated 15:25, 04 Jul 2018
",Seven-year-old girl's character gang-raped on Roblox,1,1,,,,,,https://www.devonlive.com/news/devon-news/seven-year-old-girls-character-1747314,,
69,1,myhighplains,"May 11, 2025",10-year-old found hours away with man she met on Roblox: court docs,1,1,,,,,,https://www.myhighplains.com/news/10-year-old-found-hours-away-with-man-she-met-on-roblox-court-docs/,,
70,1,kget,"Apr 24, 2025",Accused Roblox child abductor Matthew Naval speaks with 17 News inside Lerdo Justice Facility,1,1,,,,,,https://www.kget.com/news/crime-watch/accused-roblox-child-abductor-matthew-naval-speaks-with-17-news-inside-lerdo-justice-facility/,,
71,2,kget,"Apr 17, 2025","Elk Grove man booked on suspicion of kidnapping Taft girl, 10",1,1,,,,,,https://www.kget.com/news/crime-watch/elk-grove-man-booked-on-suspicion-of-kidnapping-taft-girl-10/?ipid=promo-link-block1,,
,,,,,58,46,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gaming Addition,,,,,,,,,,,,,,
1,,dailymail,20 January 2021,"Dark side of the addictive game children can't stop playing during lockdown: Roblox is full of adorable cartoon characters. But, as shocked parents are finding, it isn't as safe as it seems",,,,1,,,,https://www.dailymail.co.uk/femail/article-9169231/Dark-addictive-game-children-stop-playing.html,,
2,,nationalpost,"Jan 19, 2024",Kids spend countless hours developing games for Roblox. Most never earn a penny,,,,1,,,,https://nationalpost.com/news/roblox-kids-online-gaming-platform,,
3,,washingtonpost,"May 24, 2021","Is my child addicted to Roblox?
",1,1,1,1,1,,,https://www.washingtonpost.com/lifestyle/2021/05/25/roblox-addiction-advice/,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Dark Pattern,,,,,,,,,,,,,,
