,,Title,Addition,Behaviour Change,Dark Pattern,Saftey Concerns,link
41,,"My son won’t stop playing Roblox. He then failed all his studies, so I took away all his stuff, banned him from eating food and drink, took away his bed and revoked all his privileges.",yes,yes,,,https://www.quora.com/My-son-won-t-stop-playing-Roblox-He-then-failed-all-his-studies-so-I-took-away-all-his-stuff-banned-him-from-eating-food-and-drink-took-away-his-bed-and-revoked-all-his-privileges-Have-I-made-the-right-decision
42,,I caught my 12-year-old son playing Roblox. So I took his water privileges for 500 days and grounded him for 6 years. What else can I do to punish him?,yes,yes,,,https://www.quora.com/I-caught-my-12-year-old-son-playing-Roblox-So-I-took-his-water-privileges-for-500-days-and-grounded-him-for-6-years-What-else-can-I-do-to-punish-him
43,,I am 10 and I got addicted to one video game. It is the game called Roblox. It makes me talk to my parents about it a lot and they stop me from playing video games. Is Roblox getting me in trouble?,yes,,,,https://www.quora.com/I-am-10-and-I-got-addicted-to-one-video-game-It-is-the-game-called-Roblox-It-makes-me-talk-to-my-parents-about-it-a-lot-and-they-stop-me-from-playing-video-games-Is-Roblox-getting-me-in-trouble
44,,"My daughter was playing Roblox when I said, “Can you stop playing now?” She got angry with me.",yes,yes,,,https://www.quora.com/My-daughter-was-playing-Roblox-when-I-said-Can-you-stop-playing-now-She-got-angry-with-me
45,,I broke my daughter's phone because she's addicted and was talking to herself while playing the game called Roblox. She was only 6 years old and spoke English but she wasn't talking to anyone. Did I do the right thing?,yes,yes,,,https://www.quora.com/I-broke-my-daughters-phone-because-shes-addicted-and-was-talking-to-herself-while-playing-the-game-called-Roblox-She-was-only-6-years-old-and-spoke-English-but-she-wasnt-talking-to-anyone-Did-I-do-the-right-thing
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Dark Patterns,,,,,,,
1,,My parents are saying that buying Roblox gift cards are associated with gambling. I think it’s dumb. Can you tell me the truth?,,,yes,,https://www.quora.com/My-parents-are-saying-that-buying-Roblox-gift-cards-are-associated-with-gambling-I-think-it-s-dumb-Can-you-tell-me-the-truth?topAns=177934453
2,,"My child spends $2,000 on Roblox microtransactions using my crypto wallet. Can blockchain parental controls exist, or is this irreversible?",,,yes,,https://www.quora.com/My-child-spends-2-000-on-Roblox-microtransactions-using-my-crypto-wallet-Can-blockchain-parental-controls-exist-or-is-this-irreversible?topAns=1477743853256140
3,,"How can I stop feeling bad for my dad? He always buys me the things I want and I take it for granted! As a child, I loved the game ROBLOX and my father brought me ROBUX and I spent it all in one month! He works so hard and I take it for granted!",,,yes,,https://www.quora.com/How-can-I-stop-feeling-bad-for-my-dad-He-always-buys-me-the-things-I-want-and-I-take-it-for-granted-As-a-child-I-loved-the-game-ROBLOX-and-my-father-brought-me-ROBUX-and-I-spent-it-all-in-one-month-He-works-so-hard?topAns=285877572
4,,How do I get my dad not mad at me after I spent 350 dollars on Roblox?,,,yes,,https://www.quora.com/How-do-I-get-my-dad-not-mad-at-me-after-I-spent-350-dollars-on-Roblox
5,,How do I convince my dad that Roblox won't take away their credit card's money?,,,yes,,https://www.quora.com/How-do-I-convince-my-dad-that-Roblox-wont-take-away-their-credit-cards-money
6,,"I play Roblox and my parents don't give me Robux. My cousin has Robux and I am jealous of her. I don’t have Robux, what should I do?",,,yes,,https://www.quora.com/I-play-Roblox-and-my-parents-dont-give-me-Robux-My-cousin-has-Robux-and-I-am-jealous-of-her-I-don-t-have-Robux-what-should-I-do
7,,How do I feel better? I got scammed in Roblox that involves something with Robux and I feel bad and guilty for using my dad’s money on something stupid like getting scammed.,,,yes,,https://www.quora.com/unanswered/How-do-I-feel-better-I-got-scammed-in-Roblox-that-involves-something-with-Robux-and-I-feel-bad-and-guilty-for-using-my-dad-s-money-on-something-stupid-like-getting-scammed
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
New,,,,,,,
About Roblox Saftey ,,,,,,,
1,,Should I let my 6-year-old daughter play Roblox?,,,,yes,https://www.quora.com/Should-I-let-my-6-year-old-daughter-play-Roblox
2,,"Is Roblox good for a 16 year old? My daughter plays with her little cousin so I assume it is, I'm just concerned if she should be playing it at her age?",,,,yes,https://www.quora.com/Is-Roblox-good-for-a-16-year-old-My-daughter-plays-with-her-little-cousin-so-I-assume-it-is-Im-just-concerned-if-she-should-be-playing-it-at-her-age
3,,"My son is 17, turning 18 in December. He asked me if he can play a game called roblox. Is this safe?",,,,yes,https://www.quora.com/My-son-is-17-turning-18-in-December-He-asked-me-if-he-can-play-a-game-called-roblox-Is-this-safe
4,,"Is it wrong to play Roblox if your son is 15?
",,,,yes,https://www.quora.com/Is-it-wrong-to-play-Roblox-if-your-son-is-15
5,,My 16 year old daughter plays video games online with friends she has met through the game. Should I be concerned that those friends might not be treating her right or have bad intentions?,,,,yes,https://www.quora.com/My-16-year-old-daughter-plays-video-games-online-with-friends-she-has-met-through-the-game-Should-I-be-concerned-that-those-friends-might-not-be-treating-her-right-or-have-bad-intentions
6,,"Why is my 16-year-old daughter still playing Roblox?
",,,,yes,https://www.quora.com/Why-is-my-16-year-old-daughter-still-playing-Roblox
7,,"Is it safe for a 7-year-old daughter to be playing Roblox online, or should I have any concerns as a father?",,,,yes,https://www.quora.com/Is-it-safe-for-a-7-year-old-daughter-to-be-playing-Roblox-online-or-should-I-have-any-concerns-as-a-father
8,,"Should an 11-year-old kid play Roblox?
",,,,yes,https://www.quora.com/Should-an-11-year-old-kid-play-Roblox
9,,"I caught a 14-year-old play Roblox. Am I a good mom?
",,,,yes,https://www.quora.com/I-caught-a-14-year-old-play-Roblox-Am-I-a-good-mom
10,,"My daughter is asking me to get her something called robux from Roblox, what is that?",,,,yes,https://www.quora.com/My-daughter-is-asking-me-to-get-her-something-called-robux-from-Roblox-what-is-that
,,"My daughter keeps asking me to play Roblox with her, but I don't want to. What do I do?",,,,yes,https://www.quora.com/My-daughter-keeps-asking-me-to-play-Roblox-with-her-but-I-dont-want-to-What-do-I-do
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
bull,,,,,,,
,,,,,,,
1,,"I need to know how I should deal with bullies. When I play a video game called Roblox, I always run into a bully server. For some reason, they always pick on me. What should I do?",https://www.quora.com/I-need-to-know-how-I-should-deal-with-bullies-When-I-play-a-video-game-called-Roblox-I-always-run-into-a-bully-server-For-some-reason-they-always-pick-on-me-What-should-I-do,,,,
2,,I have been bullied in Roblox a lot. Do you know what to do with it?,https://www.quora.com/I-have-been-bullied-in-Roblox-a-lot-Do-you-know-what-to-do-with-it,,,,
3,,"Why do so many people bully on Roblox, and how do I make them stop?",https://www.quora.com/Why-do-so-many-people-bully-on-Roblox-and-how-do-I-make-them-stop,,,,
4,,Why are Roblox players always bullying?,https://www.quora.com/Why-are-Roblox-players-always-bullying,,,,
5,,"How do I stop people bullying me on Roblox for being a rich slender with Korblox?
",https://www.quora.com/unanswered/How-do-I-stop-people-bullying-me-on-Roblox-for-being-a-rich-slender-with-Korblox,,,,
6,,What should I say to the people that bully me for making a living off of Roblox?,https://www.quora.com/What-should-I-say-to-the-people-that-bully-me-for-making-a-living-off-of-Roblox,,,,
7,,How can I avoid getting bullied on Roblox by older teens?,https://www.quora.com/How-can-I-avoid-getting-bullied-on-Roblox-by-older-teens,,,,
8,,"Today in a game called Roblox, someone was bullying me, and my friend came, she sat there quiet and let me be bullied. Is she a fake friend?",https://www.quora.com/Today-in-a-game-called-Roblox-someone-was-bullying-me-and-my-friend-came-she-sat-there-quiet-and-let-me-be-bullied-Is-she-a-fake-friend,,,,
9,,"What do you do if you've been bullied or harassed on roblox?
",https://www.quora.com/What-do-you-do-if-youve-been-bullied-or-harassed-on-roblox,,,,
10,,"Every time I play Roblox, someone bullies me because of my skin. What should I do?",https://www.quora.com/Every-time-I-play-Roblox-someone-bullies-me-because-of-my-skin-What-should-I-do,,,,
11,,"How can you stop bullies on Roblox?
",https://www.quora.com/How-can-you-stop-bullies-on-Roblox,,,,
12,,"Have you ever been bullied in Roblox?
",https://www.quora.com/Have-you-ever-been-bullied-in-Roblox,,,,
13,,"If someone bullies people on Roblox, can they get arrested?
",https://www.quora.com/If-someone-bullies-people-on-Roblox-can-they-get-arrested,,,,
14,,"What is the extent of bullying in Roblox? If it does exist, what are some possible reasons for this and how can it be prevented?",https://www.quora.com/unanswered/What-is-the-extent-of-bullying-in-Roblox-If-it-does-exist-what-are-some-possible-reasons-for-this-and-how-can-it-be-prevented,,,,
